1,AK,Alaska,2,4
2,AL,Alabama,1,3
3,AR,Arkansas,5,3
4,AS,American Samoa,60,99
5,AZ,Arizona,4,4
6,CA,California,6,4
7,CO,Colorado,8,4
8,CT,Connecticut,9,1
9,CZ,Canal Zone,,99
10,DC,District of Columbia,11,3
11,DE,Delaware,10,3
12,FL,Florida,12,3
13,GA,Georgia,13,3
14,GM,Guam,66,0
15,HI,Hawaii,15,4
16,IA,Iowa,19,2
17,ID,Idaho,16,4
18,IL,Illinois,17,2
19,IN,Indiana,18,2
20,KS,Kansas,20,2
21,KY,Kentucky,21,3
22,LA,Louisiana,22,3
23,MA,Massachusetts,25,1
24,MD,Maryland,24,3
25,ME,Maine,23,1
26,MI,Michigan,26,2
27,MN,Minnesota,27,2
28,MO,Missouri,29,2
29,MS,Mississippi,28,3
30,MT,Montana,30,4
31,NE,Nebraska,31,2
32,NC,North Carolina,37,3
33,ND,North Dakota,38,2
34,NH,New Hampshire,33,1
35,NJ,New Jersey,34,1
36,NM,New Mexico,35,4
37,NV,Nevada,32,4
38,NY,New York,36,1
39,OH,Ohio,39,2
40,OK,Oklahoma,40,3
41,OR,Oregon,41,4
42,PA,Pennsylvania,42,1
43,PR,Puerto Rico,72,1
44,RI,Rhode Island,44,1
45,SC,South Carolina,45,3
46,SD,South Dakota,46,2
47,TN,Tennessee,47,3
48,TX,Texas,48,3
49,UT,Utah,49,4
50,VI,U.S. Virgin Islands,78,0
51,VA,Virginia,51,3
52,VT,Vermont,50,1
53,WA,Washington,53,4
54,WI,Wisconsin,55,2
55,WV,West Virginia,54,3
56,WY,Wyoming,56,4
57,MP,Mariana Islands,69,0
99,OT,Other,99,99
